;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;"Alle Informationen der bis Dezember 2021 verwendeten Methoden und Imputationen finden sich auf der Hauptseite des (H)VPI unter ""Dokumentationen""/ ""weiterführende Dokumentationen"". ";;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
DIREKTION VOLKSWIRTSCHAFT - PREISSTATISTIK;;;;;;;;;;;;;;;;;;;
Verbraucherpreisindex - Basis 2020;;;;;https://www.statistik.at/statistiken/volkswirtschaft-und-oeffentliche-finanzen/preise-und-preisindizes/verbraucherpreisindex-vpi/hvpi;;;;;;;;;;;;;;
Indexstände, Veränderungsraten und Einfluss-Ergebnisse nach COICOP-Klassifikation;;;;;;;;;;;;;;;;;;;
sowie für ausgewählte Waren und Dienstleistungen;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
COICOP 1)-Aggregat;Warencode neu;Aggregats-ebene;Warencode alt;VPI-Positionen;Gewicht für 2022;Indexstand im…;;%-Veränderung gegenüber …;;Einfluss 4) auf Veränderung zu…;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;August 2);Juli 3);Juli;August;Juli;August;;;;;;;;
;;;;;;2022;2022;2022;2021;2022;2021;;;;;;;;
;;;;;;;;;;;;;;;;;;;
05203;;4;;Tisch- und Badezimmerwäsche;0,05544;106,1;101,7;4,3;10,6;0,002;0,006;;;;;;;;
052030;043100;7;0262;Badetuch, Handtuch;0,03856;106,5;101,2;5,2;12,7;0,002;0,005;;;;;;;;
052030;043300;7;0264;Tischdecke;0,01688;104,9;102,7;2,1;5,9;0,000;0,001;;;;;;;;
053;;2;;Haushaltsgeräte;1,17744;112,9;110,0;2,6;9,5;0,031;0,110;;;;;;;;
0531;;3;;Elektrische und nichtelektrische Haushalts-Großgeräte;0,96430;112,8;109,9;2,6;9,4;0,025;0,089;;;;;;;;
05311;;4;;Kühlschränke, Gefrierschränke, Kühl- u. Gefrierkombinationen;0,23391;114,6;112,1;2,2;10,9;0,005;0,025;;;;;;;;
053110;043400;7;0270;Kühlschrank, Standgerät;0,08219;119,0;114,8;3,7;12,1;0,003;0,010;;;;;;;;
053110;043500;7;0271;Kühlschrank, Einbaugerät;0,04944;120,1;116,7;2,9;14,6;0,001;0,007;;;;;;;;
053110;043600;7;0272;Gefrierschrank;0,03534;110,7;107,8;2,7;9,3;0,001;0,003;;;;;;;;
053110;044600;7;0442;Kühl-, Gefrierkombination;0,06694;107,4;107,8;-0,4;7,5;0,000;0,005;;;;;;;;
05312;;4;;Waschmaschinen, Trockner und Geschirrspüler;0,34704;112,6;109,2;3,1;10,5;0,011;0,036;;;;;;;;
053120;043700;7;0273;Geschirrspüler;0,12484;109,6;109,0;0,6;7,0;0,001;0,008;;;;;;;;
053120;044300;7;0278;Waschmaschine;0,16979;115,8;109,2;6,0;13,3;0,010;0,022;;;;;;;;
053120;044700;7;0729;Wäschetrockner;0,05241;109,7;109,4;0,3;10,0;0,000;0,005;;;;;;;;
05313;;4;;Kocher;0,18755;108,8;107,2;1,5;6,4;0,003;0,012;;;;;;;;
053130;043800;7;0274;Elektroherd;0,18755;108,8;107,2;1,5;6,4;0,003;0,012;;;;;;;;
05314;;4;;Heizgeräte, Klimageräte;0,07583;111,2;111,2;0,0;1,9;0,000;0,001;;;;;;;;
053140;044800;7;0739;Kaminofen, Allesbrenner;0,07583;111,2;111,2;0,0;1,9;0,000;0,001;;;;;;;;
05315;;4;;Reinigungsgeräte;0,11997;116,1;110,1;5,4;13,0;0,006;0,015;;;;;;;;
053150;044100;7;0277;Staubsauger;0,11997;116,1;110,1;5,4;13,0;0,006;0,015;;;;;;;;
0532;;3;;Elektrische und nichtelektrische Haushalts-Kleingeräte;0,17754;112,5;109,5;2,7;9,2;0,005;0,018;;;;;;;;
05321;;4;;Küchenmaschinen;0,08114;114,1;111,3;2,5;7,9;0,002;0,007;;;;;;;;
053210;045000;7;0276;Hand-, Stabmixer;0,08114;114,1;111,3;2,5;7,9;0,002;0,007;;;;;;;;
05322;;4;;Kaffeemaschinen, Teezubereiter und ähnliche Geräte;0,08583;110,3;107,5;2,6;9,9;0,002;0,009;;;;;;;;
053220;045200;7;0283;Kaffeeautomat, -maschine;0,08583;110,3;107,5;2,6;9,9;0,002;0,009;;;;;;;;
05323;;4;;Bügeleisen;0,01057;111,5;106,3;4,9;14,9;0,001;0,002;;;;;;;;
053230;045100;7;0279;Dampfbügeleisen, -station;0,01057;111,5;106,3;4,9;14,9;0,001;0,002;;;;;;;;
0533;;3;;Reparaturen von Haushaltsgeräten;0,03560;111,3;109,4;1,7;10,1;0,001;0,004;;;;;;;;
05330;;4;;Reparaturen an Haushaltsgeräten;0,03560;111,3;109,4;1,7;10,1;0,001;0,004;;;;;;;;
053300;045300;7;0754;Waschmaschinenservice;0,03560;111,3;109,4;1,7;10,1;0,001;0,004;;;;;;;;
054;;2;;Glaswaren, Geschirr u. a. Gebrauchsgüter f. d. Haushalt;0,40147;111,4;110,6;0,7;3,1;0,003;0,013;;;;;;;;
0540;;3;;Glaswaren, Geschirr u. a. Gebrauchsgüter f. d. Haushaltsf.;0,40147;111,4;110,6;0,7;3,1;0,003;0,013;;;;;;;;
05401;;4;;Glaswaren, Kristallwaren, Keramikwaren und Porzellan;0,20127;111,2;110,3;0,8;2,4;0,002;0,005;;;;;;;;
054010;045400;7;0732;Wohn-Accessoires;0,12248;113,2;113,2;0,0;0,4;0,000;0,000;;;;;;;;
054010;046000;7;0744;Flachteller;0,05552;106,1;103,7;2,3;4,4;0,001;0,003;;;;;;;;
054010;046100;7;0745;Trinkglas;0,02327;110,0;107,6;2,2;9,5;0,001;0,002;;;;;;;;
05402;;4;;Bestecke, Schneid- und Silberwaren;0,03077;114,9;114,1;0,7;3,6;0,000;0,001;;;;;;;;
054020;045800;7;0742;Essbesteck;0,03077;114,9;114,1;0,7;3,6;0,000;0,001;;;;;;;;
05403;;4;;Nichtelektrische Küchengeräte;0,16943;111,1;110,5;0,5;3,8;0,001;0,007;;;;;;;;
054030;045600;7;0740;Druckkochtopf;0,07285;113,7;111,6;1,9;5,2;0,001;0,004;;;;;;;;
054030;045700;7;0741;Bratpfanne;0,04788;111,5;112,3;-0,7;1,7;0,000;0,001;;;;;;;;
054030;046200;7;0746;Mikrowellengeschirr;0,04870;107,2;107,2;0,0;4,2;0,000;0,002;;;;;;;;
055;;2;;Werkzeuge und Geräte für Haus und Garten;0,55560;102,6;102,5;0,1;3,2;0,001;0,018;;;;;;;;
0551;;3;;Großwerkzeuge und -geräte;0,20840;102,2;101,9;0,3;2,3;0,001;0,005;;;;;;;;
05511;;4;;Motorbetriebene Werkzeuge und Geräte;0,20840;102,2;101,9;0,3;2,3;0,001;0,005;;;;;;;;
055110;046400;7;0749;Bohrmaschine;0,04495;99,8;99,8;0,0;0,9;0,000;0,000;;;;;;;;
055110;046500;7;0750;Akkuschrauber;0,04904;102,4;102,4;0,0;1,8;0,000;0,001;;;;;;;;
055110;046600;7;0751;Rasenmäher;0,11441;103,2;102,6;0,6;3,2;0,001;0,004;;;;;;;;
0552;;3;;Kleinwerkzeuge und diverses Zubehör;0,34720;102,4;102,4;0,0;3,7;0,000;0,013;;;;;;;;
05521;;4;;Nichtelektrische Handwerkzeuge;0,12906;104,6;104,6;0,0;5,8;0,000;0,007;;;;;;;;
055210;047100;7;0736;Hammer;0,06373;102,8;102,8;0,0;4,9;0,000;0,003;;;;;;;;
055210;047200;7;0752;Gartenschere;0,06533;106,6;106,6;0,0;6,6;0,000;0,004;;;;;;;;
05522;;4;;Verschiedenes Handwerks- und Elektrozubehör;0,21814;101,8;101,8;0,0;2,5;0,000;0,006;;;;;;;;
055220;046700;7;0234;Batterie;0,16569;103,2;102,5;0,7;2,5;0,001;0,004;;;;;;;;
055220;046800;7;0267;LED-Lampe;0,03240;95,5;95,5;0,0;2,2;0,000;0,001;;;;;;;;
055220;047000;7;0268;LED-Spotlampe;0,02005;98,4;104,2;-5,6;3,6;-0,001;0,001;;;;;;;;
056;;2;;Waren und Dienstleistungen für die laufende Haushaltsf.;1,03544;106,5;106,4;0,1;6,4;0,001;0,068;;;;;;;;
0561;;3;;Kurzlebige Haushaltswaren;0,82266;107,0;106,8;0,2;7,3;0,001;0,061;;;;;;;;
05611;;4;;Reinigungs- und Pflegemittel;0,45146;101,9;102,2;-0,3;3,6;-0,001;0,017;;;;;;;;
056110;047500;7;0351;Geschirrspülmittel;0,07070;97,7;97,0;0,7;3,2;0,001;0,002;;;;;;;;
056110;047600;7;0352;Allzweckreiniger;0,08412;103,1;104,3;-1,2;5,6;-0,001;0,005;;;;;;;;
056110;047900;7;0355;Vollwaschmittel;0,18744;104,6;105,6;-0,9;4,2;-0,002;0,008;;;;;;;;
056110;048100;7;0444;WC-Stein, WC-Spüler;0,08615;100,0;97,9;2,1;0,7;0,002;0,001;;;;;;;;
056110;048200;7;0456;Spezialwaschmittel;0,02305;100,6;103,5;-2,8;3,4;-0,001;0,001;;;;;;;;
05612;;4;;Andere Verbrauchsgüter für die Haushaltsführung;0,37120;113,4;112,8;0,5;11,8;0,002;0,044;;;;;;;;
056120;047700;7;0353;Alufolie;0,09438;135,8;132,3;2,6;36,6;0,003;0,034;;;;;;;;
056120;047800;7;0354;Schwammtuch;0,08087;100,6;101,2;-0,6;0,5;-0,001;0,000;;;;;;;;
056120;048000;7;0391;Klebstoff;0,04934;107,9;107,5;0,4;8,3;0,000;0,004;;;;;;;;
056120;048300;7;0737;Spanplattenschrauben;0,05532;109,4;109,4;0,0;9,8;0,000;0,005;;;;;;;;
056120;048400;7;0770;Bodenwischer;0,09129;103,6;104,2;-0,6;0,4;0,000;0,000;;;;;;;;
0562;;3;;Häusliche Dienstleistungen;0,21278;104,7;104,7;0,0;3,3;0,000;0,007;;;;;;;;
05629;;4;;And. Dienstleistungen v. Haushaltshilfen u. a. häusl. Dienste;0,21278;104,7;104,7;0,0;3,3;0,000;0,007;;;;;;;;
056290;048500;7;0646;Gärtnerdienstleistung;0,09235;104,1;104,1;0,0;2,5;0,000;0,002;;;;;;;;
056290;048600;7;0771;Wohnungsreinigung;0,12043;105,1;105,1;0,0;3,9;0,000;0,005;;;;;;;;
06;;1;;GESUNDHEITSPFLEGE;5,58144;104,1;104,2;-0,1;2,5;-0,003;0,138;;;;;;;;
061;;2;;Medizinische Erzeugnisse;1,94089;105,3;105,5;-0,2;2,7;-0,004;0,054;;;;;;;;
0611;;3;;Pharmazeutische Erzeugnisse;1,13240;107,6;108,1;-0,5;3,4;-0,005;0,040;;;;;;;;
06110;;4;;Pharmazeutische Erzeugnisse (ohne solche für Tiere);1,13240;107,6;108,1;-0,5;3,4;-0,005;0,040;;;;;;;;
061100;048700;7;0778;Husten- und Erkältungsmittel;0,17547;112,1;112,1;0,0;2,7;0,000;0,005;;;;;;;;
061100;048800;7;0779;Schmerz-, Rheumamittel;0,09828;108,1;108,1;0,0;2,8;0,000;0,003;;;;;;;;
061100;048900;7;0780;Contraceptivum;0,07562;102,4;102,4;0,0;2,4;0,000;0,002;;;;;;;;
061100;049000;7;0781;Vitamin-, Gesundheitspräparat;0,32411;103,8;105,4;-1,5;0,2;-0,005;0,001;;;;;;;;
061100;049200;7;0782;Homöopathisches Medikament;0,03434;108,5;108,5;0,0;5,4;0,000;0,002;;;;;;;;
061100;049300;7;0783;Rezeptgebühr;0,25076;107,4;107,4;0,0;3,8;0,000;0,010;;;;;;;;
061100;049400;7;0787;Haut- und Schleimhautmittel;0,06767;104,9;104,9;0,0;2,9;0,000;0,002;;;;;;;;
061100;049500;7;0793;Magen- und Verdauungsmittel;0,10615;120,2;120,2;0,0;14,8;0,000;0,016;;;;;;;;
0612;;3;;Sonstige medizinische Erzeugnisse;0,11022;99,3;98,6;0,7;0,4;0,001;0,000;;;;;;;;
06121;;4;;Schwangerschaftstests u. mech. Empfängnisverhütungsmittel;0,01647;100,5;100,5;0,0;-1,2;0,000;0,000;;;;;;;;
061210;049700;7;0373;Kondome;0,01647;100,5;100,5;0,0;-1,2;0,000;0,000;;;;;;;;
06129;;4;;Andere medizinische Erzeugnisse, a.n.g.;0,09375;99,1;98,3;0,8;0,7;0,001;0,001;;;;;;;;
061290;049600;7;0368;Pflaster;0,09375;99,1;98,3;0,8;0,7;0,001;0,001;;;;;;;;
0613;;3;;Sonstige therapeutische Geräte;0,69827;102,5;102,5;0,0;2,0;0,000;0,014;;;;;;;;
06131;;4;;Korrektive Brillengläser und Kontaktlinsen;0,50130;99,7;99,6;0,1;0,3;0,001;0,002;;;;;;;;
061310;050200;7;0777;Kontaktlinsen;0,11960;99,8;99,0;0,8;-0,7;0,001;-0,001;;;;;;;;
061310;050300;7;0784;Brillengläser;0,28194;100,9;100,5;0,4;-0,5;0,001;-0,001;;;;;;;;
061310;050400;7;0785;Brillenfassung;0,09976;102,5;104,0;-1,4;3,6;-0,001;0,004;;;;;;;;
06132;;4;;Hörhilfen;0,05352;116,7;117,8;-0,9;14,7;-0,001;0,008;;;;;;;;
061320;050101;7;1012;Hörgerät;0,05352;116,7;117,8;-0,9;14,7;-0,001;0,008;;;;;;;;
06139;;4;;Andere therapeutische Geräte und Ausrüstungen;0,14345;106,7;106,7;0,0;3,0;0,000;0,004;;;;;;;;
061390;050102;7;1015;Heilbehelfe;0,14345;106,7;106,7;0,0;3,0;0,000;0,004;;;;;;;;
062;;2;;Ambulante Dienstleistungen;2,15006;101,4;101,4;0,0;1,3;0,000;0,027;;;;;;;;
0621;;3;;Medizinische Dienstleistungen;0,63276;109,2;109,2;0,0;10,2;0,000;0,063;;;;;;;;
06211;;4;;Allgemeinmedizin;0,20261;103,0;103,0;0,0;5,2;0,000;0,010;;;;;;;;
062110;050500;7;0755;Wahlarzt, Praktischer Arzt;0,06952;92,9;92,9;0,0;0,7;0,000;0,000;;;;;;;;
062110;050700;7;0792;E-Card-Gebühr;0,02707;106,3;106,3;0,0;3,3;0,000;0,001;;;;;;;;
062111;;S;;Praktischer Arzt (2 Positionen);0,10602;109,9;109,9;0,0;8,5;0,000;0,009;;;;;;;;
06212;;4;;Facharztmedizin;0,43015;111,9;111,9;0,0;12,6;0,000;0,053;;;;;;;;
062120;050600;7;0756;Wahlarzt, Facharzt;0,35124;107,0;107,0;0,0;8,3;0,000;0,028;;;;;;;;
062121;;S;;Facharzt, Ordination (3 Positionen);0,07891;132,7;132,7;0,0;30,5;0,000;0,025;;;;;;;;
0622;;3;;Zahnmedizinische Dienstleistungen;0,94482;106,0;106,0;0,0;4,6;0,000;0,043;;;;;;;;
06220;;4;;Zahnärztliche Dienstleistungen;0,94482;106,0;106,0;0,0;4,6;0,000;0,043;;;;;;;;
062200;051300;7;0774;Wahlarzt, Zahnarzt;0,26420;105,3;105,3;0,0;3,2;0,000;0,009;;;;;;;;
062200;051400;7;0791;Zahnarztleistung;0,68062;106,3;106,3;0,0;5,2;0,000;0,034;;;;;;;;
0623;;3;;Paramedizinische Dienstleistungen;0,57248;86,0;86,0;0,0;-13,2;0,000;-0,078;;;;;;;;
06239;;4;;And. Dienstleistungen nichtärztlicher Gesundheitsdienstberufe;0,57248;86,0;86,0;0,0;-13,2;0,000;-0,078;;;;;;;;
062390;051500;7;0757;Wahlarzt, Institut;0,07419;98,0;98,0;0,0;-7,1;0,000;-0,005;;;;;;;;
062390;051600;7;0758;Nichtärztliche Dienstleistung;0,49829;84,3;84,3;0,0;-14,2;0,000;-0,073;;;;;;;;
063;;2;;Krankenhausdienstleistungen;1,49049;106,4;106,4;0,0;3,7;0,001;0,057;;;;;;;;
0630;;3;;Stationäre Gesundheitsdienstleistungen;1,49049;106,4;106,4;0,0;3,7;0,001;0,057;;;;;;;;
06300;;4;;Stationäre Gesundheitsdienstleistungen;1,49049;106,4;106,4;0,0;3,7;0,001;0,057;;;;;;;;
063000;051700;7;0763;Kur-, Rehaaufenthalt;0,33596;106,5;106,2;0,3;3,4;0,001;0,011;;;;;;;;
063001;;S;;Pflegeplatz Senioren (4 Positionen);0,86531;106,9;106,9;0,0;3,8;0,000;0,034;;;;;;;;
063002;;S;;Spitalskosten (3 Positionen);0,28922;105,0;105,0;0,0;3,9;0,000;0,011;;;;;;;;
07;;1;;VERKEHR;13,71440;127,3;131,1;-2,9;16,8;-0,440;2,327;;;;;;;;
071;;2;;Kauf von Fahrzeugen;4,27784;119,3;118,6;0,6;14,6;0,021;0,617;;;;;;;;
0711;;3;;Kraftwagen;3,48654;120,7;119,8;0,8;16,3;0,020;0,557;;;;;;;;
07111;;4;;Neue Kraftwagen;1,71849;112,6;112,1;0,4;8,7;0,004;0,154;;;;;;;;
071110;;S;;PKW, Neuwagen (90 Positionen);1,71849;112,6;112,1;0,4;8,7;0,004;0,154;;;;;;;;
07112;;4;;Gebrauchte Kraftwagen;1,76805;129,5;128,3;0,9;24,4;0,016;0,403;;;;;;;;
071120;;S;;PKW, Gebrauchtwagen (23 Positionen);1,76805;129,5;128,3;0,9;24,4;0,016;0,403;;;;;;;;
0712;;3;;Krafträder;0,57001;111,1;111,1;0,0;8,0;0,001;0,045;;;;;;;;
07120;;4;;Motorräder;0,57001;111,1;111,1;0,0;8,0;0,001;0,045;;;;;;;;
071200;065700;7;0902;Moped;0,03489;126,6;124,8;1,4;12,5;0,001;0,004;;;;;;;;
071200;065800;7;0903;Motorrad;0,30007;106,1;105,8;0,3;3,9;0,001;0,012;;;;;;;;
071200;065880;7;1057;E-Bike;0,23505;115,0;115,6;-0,5;12,7;-0,001;0,029;;;;;;;;
0713;;3;;Fahrräder;0,22129;115,9;115,9;0,0;6,6;0,000;0,015;;;;;;;;
07130;;4;;Fahrräder;0,22129;115,9;115,9;0,0;6,6;0,000;0,015;;;;;;;;
071300;065900;7;0904;Fahrrad;0,22129;115,9;115,9;0,0;6,6;0,000;0,015;;;;;;;;
072;;2;;Betrieb von privaten Verkehrsmitteln;7,28810;135,3;143,4;-5,6;22,2;-0,472;1,634;;;;;;;;
0721;;3;;Ersatzteile und Zubehör für private Verkehrsmittel;0,53610;108,3;107,8;0,5;9,0;0,002;0,047;;;;;;;;
07211;;4;;Reifen;0,23358;113,6;113,1;0,4;13,0;0,001;0,030;;;;;;;;
072110;066400;7;0435;Sommerreifen;0,07728;123,9;123,5;0,3;20,1;0,000;0,016;;;;;;;;
072110;066500;7;0436;Winterreifen;0,15630;108,5;108,0;0,5;9,4;0,001;0,014;;;;;;;;
07212;;4;;Ersatzteile für Privatfahrzeuge;0,20748;103,2;103,1;0,1;5,6;0,000;0,012;;;;;;;;
072120;066100;7;0420;Scheibenwischer;0,08686;112,0;111,8;0,2;8,6;0,000;0,008;;;;;;;;
072120;066300;7;0422;Autobatterie;0,04539;112,9;112,8;0,1;7,9;0,000;0,004;;;;;;;;
072120;066800;7;0927;Autoersatzlampen;0,07523;88,0;88,0;0,0;0,7;0,000;0,001;;;;;;;;
07213;;4;;Zubehör für Privatfahrzeuge;0,09504;106,9;105,5;1,3;6,8;0,001;0,006;;;;;;;;
072130;066990;7;1600;Scheibenreiniger;0,03420;99,3;95,4;4,1;5,0;0,001;0,001;;;;;;;;
072130;067000;7;0931;Lastenträger PKW;0,06084;111,1;111,1;0,0;7,9;0,000;0,005;;;;;;;;
0722;;3;;Kraft- und Schmierstoffe für private Verkehrsmittel;3,37993;172,2;192,0;-10,3;43,6;-0,480;1,476;;;;;;;;
07221;;4;;Diesel;1,91632;176,1;195,2;-9,8;48,6;-0,259;0,921;;;;;;;;
072210;067400;7;0418;Dieseltreibstoff;1,91632;176,1;195,2;-9,8;48,6;-0,259;0,921;;;;;;;;
07222;;4;;Benzin;1,43215;168,5;189,8;-11,2;38,0;-0,221;0,554;;;;;;;;
072220;067300;7;0417;Superbenzin;1,43215;168,5;189,8;-11,2;38,0;-0,221;0,554;;;;;;;;
07224;;4;;Schmierstoffe;0,03146;108,1;109,7;-1,5;4,6;0,000;0,002;;;;;;;;
072240;067100;7;0415;Motoröl;0,03146;108,1;109,7;-1,5;4,6;0,000;0,002;;;;;;;;
0723;;3;;Instandhaltung und Reparatur von privaten Verkehrsmitteln;1,71969;109,9;109,6;0,3;5,3;0,005;0,092;;;;;;;;
07230;;4;;Wartung und Reparaturen an Privatfahrzeugen;1,71969;109,9;109,6;0,3;5,3;0,005;0,092;;;;;;;;
072300;067500;7;0423;Wagenwäsche;0,03813;106,8;106,4;0,4;4,3;0,000;0,002;;;;;;;;
072300;067600;7;0424;Kfz-Spenglerstunde;0,24090;108,9;108,6;0,3;6,3;0,001;0,015;;;;;;;;
072300;067700;7;0425;Kfz-Mechanikerstunde;0,36119;108,9;108,8;0,1;5,7;0,000;0,021;;;;;;;;
072300;068100;7;0432;Kfz-Elektrikerstunde;0,12066;111,6;111,6;0,0;6,9;0,000;0,008;;;;;;;;
072300;068400;7;0428;Scheinwerfer, Material;0,03050;109,6;109,1;0,5;4,7;0,000;0,001;;;;;;;;
072300;068500;7;0430;Auspuffanlage, Material;0,05482;108,7;108,3;0,4;4,8;0,000;0,003;;;;;;;;
072300;068700;7;0431;Bremsbeläge vorne, Material;0,50152;111,2;110,6;0,5;3,3;0,003;0,017;;;;;;;;
072300;068800;7;0433;Ölservice;0,16395;111,9;111,5;0,4;7,6;0,001;0,013;;;;;;;;
072300;068900;7;0548;Klimaanlagenservice;0,05381;113,2;112,6;0,5;8,6;0,000;0,005;;;;;;;;
072300;069000;7;0550;Reifenservice;0,03590;118,6;118,9;-0,3;10,5;0,000;0,004;;;;;;;;
072300;070201;7;0928;Beitrag zum Autofahrerclub;0,11831;102,8;102,8;0,0;2,3;0,000;0,003;;;;;;;;
0724;;3;;Sonstige Dienstleistungen an privaten Verkehrsmitteln;1,65238;101,6;101,5;0,1;1,1;0,001;0,019;;;;;;;;
07241;;4;;Miete von Garagen oder Parkplätzen und Personen-KFZ ohne Fahrer;0,10651;101,2;100,7;0,5;2,0;0,001;0,002;;;;;;;;
072410;069400;7;0495;Parkgarage;0,10651;101,2;100,7;0,5;2,0;0,001;0,002;;;;;;;;
07242;;4;;Benützungsgebühren und Parkometergebühren;1,35595;101,1;101,1;0,0;0,7;0,000;0,009;;;;;;;;
072420;069200;7;0493;Parkgebühr;0,04451;110,8;110,8;0,0;1,6;0,000;0,001;;;;;;;;
072420;069300;7;0494;Parkpickerl;0,02598;118,7;118,7;0,0;17,5;0,000;0,005;;;;;;;;
072420;069600;7;0582;Allgemeine Mautgebühr;0,15714;103,0;103,0;0,0;1,5;0,000;0,002;;;;;;;;
072420;069900;7;0925;Mautgebühr, Alpenstraße;0,06032;103,8;103,8;0,0;2,8;0,000;0,002;;;;;;;;
072421;;S;;Motorbezogene Versicherungssteuer (6 Positionen);1,06800;100,0;100,0;0,0;0,0;0,000;0,000;;;;;;;;
07243;;4;;Fahrunterr., Fahrprüf., Führersch. u. Straßentauglichkeitstests;0,18992;106,2;106,0;0,2;3,6;0,000;0,007;;;;;;;;
072430;069100;7;0470;Fahrschule;0,09489;108,8;108,4;0,4;4,7;0,000;0,005;;;;;;;;
072430;069700;7;0585;Wiederkehrende Begutachtung;0,05264;107,3;107,3;0,0;4,6;0,000;0,002;;;;;;;;
072430;069800;7;0807;Führerscheingebühr;0,01378;100,0;100,0;0,0;0,0;0,000;0,000;;;;;;;;
072430;070000;7;0926;Anmelden eines PKW;0,02861;100,0;100,0;0,0;0,0;0,000;0,000;;;;;;;;
073;;2;;Verkehrsdienstleistungen;2,14846;115,7;115,2;0,4;3,2;0,011;0,075;;;;;;;;
0731;;3;;Schienenpersonenverkehr;0,30669;94,3;93,9;0,4;-4,2;0,002;-0,013;;;;;;;;
07311;;4;;Personenbeförderung mit der Eisenbahn;0,30669;94,3;93,9;0,4;-4,2;0,002;-0,013;;;;;;;;
073110;070900;7;0951;Bahn - Normalpreisticket;0,03519;96,7;96,7;0,0;-2,7;0,000;-0,001;;;;;;;;
073110;071100;7;0952;Bahn - Sparschiene - Ticket;0,03981;98,9;97,2;1,7;2,7;0,001;0,001;;;;;;;;
073110;071300;7;0953;Bahn - Vorteilscard - Ticket;0,13260;96,1;96,1;0,0;-2,5;0,000;-0,004;;;;;;;;
073110;071400;7;0954;Bahn - Vorteilscard;0,04806;99,5;99,5;0,0;-0,2;0,000;0,000;;;;;;;;
073110;072200;7;0957;Bahn - Senioren - Vorteilscard;0,01478;100,0;100,0;0,0;0,0;0,000;0,000;;;;;;;;
073110;072220;7;1222;Bahn - Jahreskarte;0,03625;72,0;70,9;1,6;-28,0;0,001;-0,009;;;;;;;;
0732;;3;;Straßenpersonenverkehr;0,15045;110,3;110,3;0,0;11,5;0,000;0,018;;;;;;;;
07321;;4;;Personenbef. mit dem Omnibus u. mit dem Reisebus;0,05678;114,6;114,6;0,0;17,4;0,000;0,010;;;;;;;;
073210;072500;7;0932;Ausflugsbus;0,05678;114,6;114,6;0,0;17,4;0,000;0,010;;;;;;;;
07322;;4;;Personenbef. mittels Taxi u. mit gemietetem Fahrzg. mit Fahrer;0,09367;107,5;107,5;0,0;7,9;0,000;0,007;;;;;;;;
073220;072300;7;0496;Taxi, Tagesfahrt;0,04696;107,7;107,7;0,0;7,2;0,000;0,003;;;;;;;;
073220;072400;7;0497;Taxi, Nachtfahrt;0,04671;107,2;107,2;0,0;8,6;0,000;0,004;;;;;;;;
0733;;3;;Luftpersonenverkehr;0,52537;177,8;175,5;1,3;19,3;0,009;0,107;;;;;;;;
07332;;4;;Personenbeförderung im Auslandsflugverkehr;0,52537;177,8;175,5;1,3;19,3;0,009;0,107;;;;;;;;
073320;072702;7;1014;Flugticket Ausland;0,52537;177,8;175,5;1,3;19,3;0,009;0,107;;;;;;;;
0735;;3;;Kombinierter Personenverkehr;1,11575;97,4;97,4;0,0;-3,2;0,000;-0,037;;;;;;;;
07350;;4;;Kombinierte Personenbeförderungsleistungen;1,11575;97,4;97,4;0,0;-3,2;0,000;-0,037;;;;;;;;
073501;;S;;Innerstädtischer Verkehr - Tagesticket (5 Positionen);0,09304;104,1;104,1;0,0;2,7;0,000;0,002;;;;;;;;
073502;;S;;Innerstädtischer Verkehr - Dauerkarte (7 Positionen);1,02271;96,7;96,7;0,0;-3,8;0,000;-0,039;;;;;;;;
0736;;3;;Sonstige gekaufte Verkehrsdienstleistungen;0,05020;100,0;100,0;0,0;0,0;0,000;0,000;;;;;;;;
07362;;4;;Umzugs- und Lagerungsdienste;0,05020;100,0;100,0;0,0;0,0;0,000;0,000;;;;;;;;
073620;074300;7;0958;Bahn-Schließfachgebühr;0,05020;100,0;100,0;0,0;0,0;0,000;0,000;;;;;;;;
08;;1;;NACHRICHTENÜBERMITTLUNG;2,04518;95,8;96,2;-0,4;-1,4;-0,007;-0,030;;;;;;;;
081;;2;;Postdienste;0,03637;107,6;107,6;0,0;7,0;0,000;0,002;;;;;;;;
0810;;3;;Post- und Kurierdienstleistungen;0,03637;107,6;107,6;0,0;7,0;0,000;0,002;;;;;;;;
08101;;4;;Briefbearbeitungsdienstleistungen;0,01998;101,0;101,0;0,0;0,0;0,000;0,000;;;;;;;;
081010;074500;7;0936;Briefporto, Inland;0,01716;101,0;101,0;0,0;0,0;0,000;0,000;;;;;;;;
081010;074600;7;0937;Briefporto, Ausland;0,00282;101,3;101,3;0,0;0,0;0,000;0,000;;;;;;;;
08109;;4;;Andere Post- und Kurierdienstleistungen;0,01639;116,5;116,5;0,0;16,5;0,000;0,002;;;;;;;;
081090;074800;7;0939;Pakettarif;0,01639;116,5;116,5;0,0;16,5;0,000;0,002;;;;;;;;
082;;2;;Telefonapparate und Telefaxgeräte;0,41546;90,0;91,0;-1,1;-6,5;-0,004;-0,028;;;;;;;;
