;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;"Alle Informationen der bis Dezember 2021 verwendeten Methoden und Imputationen finden sich auf der Hauptseite des (H)VPI unter ""Dokumentationen""/ ""weiterführende Dokumentationen"". ";;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
DIREKTION VOLKSWIRTSCHAFT - PREISSTATISTIK;;;;;;;;;;;;;;;;;;;
Verbraucherpreisindex - Basis 2020;;;;;https://www.statistik.at/statistiken/volkswirtschaft-und-oeffentliche-finanzen/preise-und-preisindizes/verbraucherpreisindex-vpi/hvpi;;;;;;;;;;;;;;
Indexstände, Veränderungsraten und Einfluss-Ergebnisse nach COICOP-Klassifikation;;;;;;;;;;;;;;;;;;;
sowie für ausgewählte Waren und Dienstleistungen;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
COICOP 1)-Aggregat;Warencode neu;Aggregats-ebene;Warencode alt;VPI-Positionen;Gewicht für 2022;Indexstand im…;;%-Veränderung gegenüber …;;Einfluss 4) auf Veränderung zu…;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;August 2);Juli 3);Juli;August;Juli;August;;;;;;;;
;;;;;;2022;2022;2022;2021;2022;2021;;;;;;;;
;;;;;;;;;;;;;;;;;;;
011910;014100;7;0118;Speiseessig;0,05011;103,6;102,4;1,2;3,1;0,001;0,002;;;;;;;;
01192;;4;;Salz, Gewürze und Küchenkräuter;0,09333;105,2;104,9;0,3;6,2;0,000;0,006;;;;;;;;
011920;013700;7;0113;Vollsalz;0,01903;112,3;111,0;1,2;8,4;0,000;0,002;;;;;;;;
011920;013800;7;0114;Gewürzpaprika;0,07430;103,7;103,7;0,0;5,5;0,000;0,004;;;;;;;;
01193;;4;;Kleinkindnahrung;0,07192;112,1;110,2;1,7;10,0;0,001;0,007;;;;;;;;
011930;014103;7;1062;Baby-Milchnahrung;0,07192;112,1;110,2;1,7;10,0;0,001;0,007;;;;;;;;
01194;;4;;Fertiggerichte;0,13285;100,3;99,7;0,6;3,7;0,001;0,005;;;;;;;;
011940;014101;7;0047;Fertiggericht, gekühlt;0,13285;100,3;99,7;0,6;3,7;0,001;0,005;;;;;;;;
01199;;4;;Andere Nahrungsmittel, a.n.g.;0,04959;112,7;110,7;1,8;14,0;0,001;0,007;;;;;;;;
011990;013400;7;0108;Suppenpulver;0,04959;112,7;110,7;1,8;14,0;0,001;0,007;;;;;;;;
012;;2;;Alkoholfreie Getränke;1,22517;114,1;113,4;0,6;14,1;0,009;0,175;;;;;;;;
0121;;3;;Kaffee, Tee und Kakao;0,50973;117,2;113,4;3,4;19,2;0,019;0,098;;;;;;;;
01211;;4;;Kaffee;0,40919;118,1;113,7;3,9;20,8;0,017;0,084;;;;;;;;
012110;014300;7;0144;Bohnenkaffee;0,19543;125,1;121,7;2,8;26,7;0,006;0,051;;;;;;;;
012110;014301;7;0146;Kaffeepads/-kapseln;0,15084;112,3;109,0;3,0;15,2;0,005;0,023;;;;;;;;
012110;014302;7;1044;Löslicher Kaffee;0,06292;116,9;106,6;9,7;15,5;0,006;0,010;;;;;;;;
01212;;4;;Tee;0,07887;114,7;113,4;1,1;13,6;0,001;0,011;;;;;;;;
